DATES,CAR,SGJ,1834,JMMBGL,JSE
43942,6.26,45.28,0.89,36.34,21.28
43943,6.38,47.22,0.89,37.31,20.35
43944,6.31,45.03,0.9,35.12,20.63
43945,6.73,45.84,0.87,34.85,20.89
43948,6.59,44.89,0.9,34.9,20.63
43949,6.29,36.6,0.9,33.65,20.71
43956,6.43,44.27,0.8,33.07,20.7
43957,6.43,44.5,0.85,33.99,20.72
43958,6.46,44.03,0.9,33.81,20.98
43959,6.5,46.23,0.9,33.2,20.86
43962,6.5,47.03,0.85,33.38,20.88
43966,6.5,44.95,0.8,33.96,20.8
43969,6.5,44.86,0.8,34.01,20.83
43970,6.43,43.98,0.79,34.02,20.92
43972,6.5,44.79,0.84,34,20.32
43979,6.54,45.29,0.9,33.81,20.74
43980,6.62,45.65,0.82,33.67,21.03
43983,6.49,45.43,0.9,33.91,21.17
43986,6.49,46.08,0.9,33.96,20.58
43987,6.5,44.17,0.87,33.97,21.92
43990,8.49,57.99,1.2,47,27.99
43991,6.49,47.3,0.87,33.93,20.42
43992,6.49,43.19,0.81,33.75,20.92
43993,6.5,45.4,0.85,33.7,21.08
43994,6.46,44.64,0.85,33.75,21.7
43997,6.42,44.68,0.8,33.52,20.22
43998,6.41,43.5,0.89,33.11,20.86
43999,6.4,46.11,0.9,33.34,21.18
44000,6.4,46.44,0.97,33.3,21.79
44001,6.4,43.18,0.99,33.39,21.84
44004,6.42,43.19,1.05,33.32,22.41
44005,6.43,42.93,0.95,32.53,20.21
44006,6.35,44.67,1.05,32.98,21.65
44007,6.5,44.19,1,33.06,20.23
44008,6.44,46.22,1.06,33,20.38
44011,6.49,45.72,1.05,32.29,21.42
44012,6.48,45.53,1.01,32.6,21.54
44013,6.5,44.5,1.01,31.56,21.59
44014,6.5,44.96,1.01,31.46,21.52
44015,6.48,47.15,1.04,31.43,21.5
44018,6.49,43.99,0.95,31.19,21.54
44019,6.47,43.64,1.02,30.32,21.5
44020,6.5,43.07,1.02,31.13,21.5
